name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
famous  garlic noodles,383120,20,1336260,2009-07-28,,"a one in a million dish craved by thousands of attendees of the maui swap meet. it is still sought after it was discontinued when the swap meet moved to a new location.  popular toppings for this dish are grilled teri-chicken, teri-beef, shrimp curry or just with chopped green onions.",
fraicheur  vinaigrette,367987,5,797706,2009-04-26,,this is a lovely salad dressing from a local gluten-free cookbook. it is extremely simple and you'll (most likely) already have all the ingredients at home.,7.0
full cool  macaroni and cheese,463219,25,383346,2011-08-28,8.0,a recipe from ricardo that is popular with kids.  so i had to try it. my son is beginning kindergarten tomorrow and i wanted to do something he'll like.  and this recipe is a winner with it.  with us also.  it's so easy to do.,11.0
good morning   muffins,39172,40,40493,2002-09-03,,"i first tasted these muffins at a brunch and the hostess was kind enough to give me the recipe.i asked her about the name she had given them, and she said if any food could ever say ""good morning!"" these muffins were it.",
goulashy  beef stew for the slow cooker,216068,430,446143,2007-03-10,,noodle beef stew in the slow cooker...easy comfort food!,13.0
hey nic  add the chicken   leek and potato soup,173730,120,235194,2006-06-19,28.0,"this started out life as just leek and potato soup, one of a plethora of soups in my husband's box of cheffy tricks.  when i saw him about to just chuck the chicken frames into the bin after having made the stock i protested and told him to chip off the meat and put it back in the soup.  he was a bit dubious but has now changed the recipe to include chicken!",6.0
jiffy  deluxe pizza sticks,287778,33,727055,2008-02-23,,"recipe from a box of jiffy brand pizza crust mix, adapted slightly to our own taste. when we get tired of homemade pizza, we make these quick breadsticks. great to dip, make extra 'cuz they go fast!",7.0
just peachy  cobbler,437637,70,1085867,2010-09-17,10.0,"all i can say is yummmmmm . . . a simple to make peach cobbler! *cook's note: a 28oz can of peaches, drained, or 4 to 5 large fresh peaches skinned and sliced can be substituted for the frozen peaches. i use only real butter and real vanilla!",10.0
kelly s chinese cabbage salad,123115,22,113941,2005-05-22,,"i've had lots of people ask for this recipe...there are similar ones, but this is how i make it.",11.0
little kick  jalapeno burgers,371549,16,383853,2009-05-12,8.0,"this recipe was originally submitted to taste of home's healthy cooking magazine by dawn dhooghe of concord, north carolina.  ""i lightened up one of my husband's favorite burgers, although the original was good, we actually like this better.""",14.0
magic  chicken noodle soup,376813,40,1292969,2009-06-11,9.0,"my mom taught me how to make from scratch chicken noodle soup and i added to it until it was my own. when i was in college, i would make it for my friends and roommates when they were sick or even just feeling blue. that's how it earned the nickname magic penicillin soup. i'm not sure it's all that, but i sure like it.",10.0
mcgriddle  pancakes breakfast sandwich,134085,15,31364,2005-08-20,4.0,"these are so great as pancakes, but even better as sandwiches! (can be frozen for oamc, also.)",
melanie s  chicken chili,390230,90,809163,2009-09-14,,"years ago, i started experimenting with a chicken variety of my mom's old basic chili recipe.    i never, ever make a chili the same way - that's the beauty of it.   just use what you have in your pantry or what you are craving....there's really no way you can go wrong.   every time, i make chili with chicken it is different. for my family & friends who think there is an actual ""melanie's chicken chili recipe"", here's my attempt to finally publish it with approximate ingredients for you.    

feel free to mix it up anyway you please - but my biggest rule is please don't use canned diced chilies in that acidic gross tasting preservative juice - yeah you know what i'm talking about and gross!",22.0
missy s  sweet potato casserole,401605,50,814629,2009-11-28,7.0,"this is the recipe i have been using for years, and i am putting it here for safekeeping.  i was making it this morning for thanksgiving and noticed that my copy is starting to get soiled.  this is so good, you could almost eat it for dessert.",10.0
old bay  grilled steak fries,306590,20,337736,2008-05-31,,"found this in a magazine, yet to try, but look tasty....",15.0
peas  fit for a king or queen,303944,20,213909,2008-05-16,,this recipe is so simple and the flavors are so amazing! it was the hit at a recent dinner. everyone had to have the recipe. better double the recipe! they will all want seconds!,5.0
pizza  beans,299968,110,360244,2008-04-22,13.0,"i make this often for my son, who gave the dish it's name.  he claims it tastes like pizza - i'm not so sure...",12.0
rainbow chicken strips,192542,50,360369,2006-10-28,,"okay, i probably didn't make this up, but i felt like i did.  i was looking for something new to make that my kids would love.  it was colorful and my 3 year old called it rainbow chicken. so easy and i liked it too!
the amounts and times are not exact i didn't really measure as i was going along.",5.0
reasonable  lemon chicken and potatoes,147563,55,270809,2005-12-06,9.0,"this is a recipe my mother and i made up-it is both easy to make and delicious!  it is the most tender chicken i've ever had.  if you like things less sour, use a little less lemon juice.",
royal  turkey stuffing,193719,75,247476,2006-11-04,16.0,family legend has it that this originated with the danish royal family.  apparently my mother's friend knew the cook.  it is by far my favorite stuffing and of course we stuff chickens etc. with it and even make it as a vegan casserole by leaving out the poultry all together.  i have modified it somewhat over the years but it is still basically the same recipe.,
second only to my meatloaf  meatballs,38852,90,51579,2002-08-29,9.0,"my daughters, ages 12 and 6, love my meatloaf! but when i want to give them something close to it, but different, these meatballs are just the thing!",10.0
skinny  fries,250232,50,133174,2007-09-02,10.0,this recipe comes from the new american diet cookbook with some changes by me.  the secret here is to soak the potatoes in ice water for 10 to 15 minutes while the oven is preheating.,4.0
so i cheated  refrigerator dills,134787,20,209747,2005-08-24,,"ya so it is kinda cheating- but these come out so good everytime. fast, simple and easy. just don't tell 'em you cheated! they keep for 6 months in the fridge but always disappear faster than that! a family recipe here in tx.",
the heat  spicy party mix,437219,95,1682162,2010-09-13,,a spicy chex mix that will really warm your guests up during the holidays.,11.0
three cheese  cheese ball,77380,375,37636,2003-11-26,5.0,"great for parties and superbowl get-togethers. serve with crackers, bagel chips, or vegetable sticks. prep time includes time to chill cheese ball.",8.0
u  wing it pork loin chops,21357,65,13483,2002-03-04,7.0,"as the name indicates, fix a sauce from ingredients in your fridge. you can make a luscious gravy from your fridge. prepare ahead of time and cook when needed. a 1 inch chop is like a ""mini"" roast you can carve when cooked. served with asparagus and a baked potato and dinner is done.",9.0
we re going bananas  bread,198343,72,326970,2006-11-29,9.0,"another all time household favorite from ""the best of bridge"" series.  going bananas is an excellent bread, and our fmaily has enjoyed it for years.  12 minutes to mix, and 60 minutes to bake and the rest is history.",10.0
wolf creek inn  macaroni   cheese,129919,80,165308,2005-07-15,,"this comes from a very highly rated restaurant in my area, high in chesse content but so good.",10.0
miracle  honey oatmeal bread  gluten free,375376,75,1283639,2009-06-01,11.0,"this recipe was is an insight into my childhood as a reminder of my first love for baking bread. my grandpa used to make it for me and i loved it so much that i set my mind to mastering the process myself. awesome!

for this an more awesome gluten free recipes, check out my blog: www.glutenfreegirls.blogspot.com",14.0
big mac  pizza,152534,20,167408,2006-01-19,,this cheeseburger pizza is so different from the others on 'zaar' i renamed it 'big mac' because it tastes like a big mac only better.  my son christopher was served this as an appetizer at a bar. very surprising how good.,
get up   go  bars,63131,10,21752,2003-05-27,6.0,"i found these at the mr. food site. my friends says they really are called get up and go bars because with all the fiber, you really will have to get up and run! especially if you have one of these bars with your first morning cup of coffee!",7.0
neezy peazy lunch,24760,35,29291,2002-04-08,,"this is a great meal eaten the same day ,but even better the next day , if you can wait! add your favourite spices, but try it first as it is and i think that you will enjoy the 'vegetable' taste. good for freezing.",6.0
spring in your step  smoothie  raw food,327979,5,424680,2008-09-30,2.0,this recipe was pulled off the internet.,
copycat  chi chi s cornbread,375362,25,100856,2009-06-01,3.0,this is the best corn bread out there and super easy! beware it is moist! you also can double the recipe to make a thicker batch of corn bread.,5.0
different   irish soda bread,217296,65,466793,2007-03-18,13.0,"a little different than most soda bread recipes, which makes it even more delicious! the beer and pepper add a little different flavor, not mention a genuine irish-ness. i got this out of a woman's world magazine. this bread tastes best eaten right out of the oven.",10.0
fooled ya   spaghetti sauce,121107,40,182809,2005-05-09,12.0,this is something my daughter does to get her boys to eat more vegetables. it sure works for her...should work for you!,4.0
iowa state fair  sweet dough caramel cinnamon rolls,435816,80,17803,2010-08-24,29.0,"this was the winning entry at the 2010 iowa state fair for the  tone's spices best cinnamon roll contest - overall winner - 2010 iowa state fair
recipe created by janice nostrom of humboldt .  janice, i can't wait to try this as my rolls are so bad i don't even try to make them any more.  i have high hopes with this recipe from janice.  thank you!!  
rise time: about 2-1/2 hours",
make ahead  flaky sausage foldovers,198073,40,166642,2006-11-28,22.0,"these flaky sausage foldovers can be made ahead of time, making them great for parties.",5.0
my way of   steamed cabbage,202949,30,29782,2007-01-02,6.0,"i remember when i was growing up watching my great aunt cook and listening to all her tips on cooking and was thinking about her fried cabbage.... so this morning (new years day) i decided to use up the cabbage i had left in the refrigerator. i added my own touch to my aunts way of steaming. she just usually steamed her cabbage in bacon grease, i like to kick my food up just a notch! :) 
the measurements in this recipe might be off a bit but the main thing is getting the flavor of the spices.",11.0
shrimp  cocktail sauce,26420,5,22973,2002-04-27,,this is an easy to make shrimp sauce. it makes about 1 1/2 cups.,
copycat   costa vida green rice,367828,35,891449,2009-04-25,,"i think this chain is mostly out west but i went to the one in portland, me with my sister and am now a huge fan.  this is very similar to the rice that they use in the burritos and salads.  yummy!",9.0
heavenly  fiber muffins,140610,35,167849,2005-10-10,11.0,"high-fiber muffins that are full of flavor.  full of apples, carrots and nuts, these muffins are so good and great for you. i adapted this recipe from one that came on a box of hodgon mill mulit-grain hot cereal (found in the gourmet or health food area of a regular grocery store).  if you can find the hodgon mill hot cereal, use it, but if you can't find it, you can put the same amount of oatmeal in a blender or food chopper and chop until it is very fine.  note: the more you use the lowfat options, the quicker these will cook.  best is to stick to just one or two lowfat options (e.g. just egg whites and skim milk and use veg oil, etc.)",17.0
the real  black tie mousse cake by olive garden,392181,180,1366440,2009-09-28,,"this is it. the real deal. very time consuming, but worth it. delicious and decadent, this is a four-layer chocolate mousse cake.",13.0
ultimate  dark chocolate oreo truffle,468143,30,1926889,2011-11-13,,"only 3 ingredients!  this is my all-time favorite dessert recipe, and ironically one of the easiest i've come across.  anyone can make it, yet the taste is something you'd expect from a professional chocolatier.",3.0
tasty s    the power of flower7 salad,374703,20,47892,2009-05-27,11.0,"--tasty-- and i collaborated on this colorful spring/summer salad today! there are as many variations of the salad as there are vegetables, fruits and herbs! use a light vinaigrette of your choice to complete the recipe. read *note below in the directions. --tasty dish-- would like to dedicate this recipe to flower7.",9.0
hawaiian sunrise           mimosa,100837,5,58104,2004-09-29,4.0,pineapple mimosa was changed to hawaiian sunrise suggested by kelbel's dh and i did like it so i went for it. a toast to kelbel and her dh!!! i made this to help the campagne go a little farther and i wish we had an other bottle of champagne because we enjoyed these so.,3.0
tasty dish s   banana pudding in 2 minutes,286484,2,47892,2008-02-13,,"""mmmm, i love bananas!"" a --tasty dish-- original. --tasty-- says for a deluxe version, stir in pureed strawberries!",4.0
0 fat chunky watermelon salsa,176996,45,89831,2006-07-10,,"this is fantastic served with grilled seafood or chicken! plan ahead this needs to chill for 30 minutes before serving, this can be made up to 2 hours in advance, but does not keep well overnight.",8.0
1 minute cake,290187,2,584365,2008-03-05,20.0,"it's not a fancy cake but when you eat it warm with whipped cream, ice cream or a chocolate glaze, it tastes pretty good. it's great for when you're craving for something sweet but don't want the temptation of an entire cake in your house. plus, it's super fast to make.",
1 minute meatballs,11361,13,4470,2001-09-03,,"this is a real short cut for cooks in a hurry. use the cooked sausage bits like you would any meatball. in soups, stews, spaghetti, casseroles or as an appetizer with a sauce. cheating? not really just using a good shortcut.",2.0
1 point plus   hg s faux fried pickles,459738,40,120566,2011-06-30,,"from hungry girl email.
per serving (10 pickle chips): 40 cal, .5g fat, 10g carbs,  2g fiber, 2g protein",8.0
1 001 nights cake,111198,50,94272,2005-02-15,11.0,"a delicious arabian honey treat, and very quick and easy to prepare. the cake is buttery-eggy, and the topping is a chewy confection of butter, sugar, honey, almonds and cinnamon; ed compares the topping to pecan pie, but it's much more caramelized and toothsome.",9.0
1 1 1 tempura batter,164636,5,236760,2006-04-17,2.0,"i use this everytime i make onion rings, hot poppers and other fried finger food.  once you use it for the first time, you won't have to reach for the recipe again, cuz it's so easy.  to make more, just change the 1-1-1 to 2-2-2 or more.",
1 2 3 bread,33246,55,47549,2002-07-05,1.0,"a quick, easy bread to make.",3.0
1 2 3 enchiladas,302498,20,454149,2008-05-06,10.0,this is the best recipe for quick enchiladas that people devour when i make it. it is easy and uses stuff you already have in your house. i like to use 2 cans of chili. i got this recipe off the http://www.eversave.com/eversave/consumers/recipe.jsp website.,6.0
1 2 3 ground turkey mexican rice,378067,25,1299206,2009-06-22,,"i found this years ago in a magazine and have been making it since. its very easy, and healthy. serve on tortillas with sour cream and shredded cheese, or eat right out of a bowl.",
1 2 3 4 cake  orange,165438,60,291568,2006-04-24,10.0,"my mother just gave me a whole box of recipes and i found this recipe in it. it sounded so good, i baked it for a bake sale. a woman bought a couple of pieces, liked it so much that she came back and bought the rest of the cake. definitely a keeper... very easy, tasty, and versatile. i made it in a 9x13 pan. you can use milk or water instead of orange juice but i really liked the flavour of the orange juice and the raisins in it.",9.0
1 dish hot fudge swirl cake,267159,35,498271,2007-11-21,,from a fleischmann's ad in country living - an oh-so-easy and oh-so-yummy treat!,9.0
1 dish italian 5 cheese pizza bake,401283,50,37449,2009-11-25,7.0,a quick recipe with only 20 minutes preparation using fleishchmann's rapid rise yeast!,11.0
1 minute blueberries   cream,428566,2,1375473,2010-06-04,4.0,"i was craving blueberry tonight but wanted none of the calories...so i reached for my protein-rich friend, friendship cottage cheese! cottage cheese is rough on its own and makes you think it's another misery-inducing diet food. well, it doesn't have to be! frozen blueberries are a must for this, not fresh, because i find that the frozen actually tends to be of better quality, no bitterness, and when you nuke 'em they give off this syrup that has no added sugars. this takes barely 1 minute to whip up, tastes great, and is a great rush-hour breakfast, after-school, or after-dinner treat!",
1 minute breakfast sandwich,533190,3,33186,2017-08-14,10.0,there's no excuse to skip breakfast when it's this easy.,12.0
10 calorie chocolate miracle noodle cookies,478546,30,2247203,2012-04-26,26.0,a moist chocolate cookie that reminds me of a flourless chocolate torte. pictures at: http://mitochondrialdepletionsyndrome.blogspot.com/2012/04/10-calorie-orange-sicle-miracle-cookie.html,6.0
10 clove stove top roast,40228,90,3288,2002-09-15,,most italian homes rarely have ovens so that leaves them roasting on the stove top. it's the perfect way to make a rare roast beef. turning the meat is the hardest part!,6.0
10 lb  lasagna,255985,180,94189,2007-09-28,,"i call this the 10 lb. lasagna because the ingredients total about 10 lbs.  i have been practicing my lasagna recipe for years and this is what i have finally come up with.

note:  this lasagna can be made the day before and baked the next day.  or you can make this lasagna and freeze to bake at a later time.  (if you freeze, please remember to allow extra baking time.)",16.0
10 minute chocolate self saucing pudding,402246,10,1464792,2009-12-02,9.0,"got this recipe from the ""essentially food magazine"". it's not the best chocolate self-saucing pudding i've had, but it is so quick and great if you have an after-dinner chocolate craving!!!",11.0
10 grain orange bread,180817,215,279496,2006-08-07,,"this bread is terrific for sandwiches. its slight sweetness and hint of orange marries well with turkey, particularly if you’re one of the people who loves turkey sandwiches with a dollop of cranberry sauce in the filling.",
10 layer poor man s lasagna casserole,133326,80,113941,2005-08-12,,"i had to come up with a kid/adult friendly recipe to please everybody while my step-daughter was visiting. so this is what i did. we all loved this! it ended up making a lot, though, so you might want to make a half a recipe. i'll be taking this to the next potluck or family gathering that comes up! it was so good! it came out way better than i thought it would. i was quite surprised and happy! hope you try it!",13.0
10 minute lime pie,513963,10,2284242,2014-03-04,12.0,"a super easy stand-in for traditional key lime pie. slightly altered from the version posted on serious eats (http://www.seriouseats.com/recipes/2011/07/10-minute-lime-cracker-pie-recipe.html). squeezing the limes can be a chore, but you can always skip it by buying fresh lime juice.",5.0
10 minute tuscan tomato soup with parmesan toasts,213395,10,166642,2007-02-23,13.0,this soup is good served with parmesan toasts. recipe is from woman's day.,10.0
100   whole wheat,27060,250,21399,2002-05-02,,"the trick to making 100% whole wheat bread is the extra knead which gives the yeast and gluten a second chance to creat a lighter loaf. gluten gives the whole wheat flour the structure needed for a good loaf. if your store doesn't carry it, try the local health food store.",9.0
100 calorie cinnamon pancakes,334201,20,346383,2008-10-30,6.0,"this recipe was listed as the featured recipe in an email today from the www.sparkrecipes.com website.  ""submitted by amroz123 - i am known for my pancakes, so trust me on this one!
30 minutes to prepare and cook - serving size is one pancake. if you use less than 1/3 of a cup batter (like 1/4, or 1/6) you can have two for 100 calories! smaller, but more! :-)""",
100 calorie coffee,482111,25,57042,2012-07-03,2.0,you can make this even fewer calories if you sweeten it with a zero calorie sweetner instead of sugar. this cam from 101 coffee recipes.,4.0
100 year old pie crust,126072,15,205983,2005-06-15,,very nice light crust,5.0
