,name,preprocessed_descriptions
43,don t knock it until you try it  beet cake,yes this cake is made with beets and you wont believe how great it is i got the recipe from a friend who said it is the most requested cake in her family even the kids want it for their birthday cake i baked it for one of our family gatherings and now i get lots of requests for it too the batter looks red but the red bakes out i use an almond flavored frosting on it sometimes other times i just serve it with homemade whipped cream
44,emerald ecstasy  green smoothie,this is the delicious green smoothie recipe that i make and serve at my vitamix sales demonstrations  it always wows the crowd when something that is so bright green tastes so surprisingly delicious  it is designed for a vitamix so i dont know how it would work in any other kitchen applianceadd ingredients into the 64 oz container in the following order
45,famous  garlic noodles,a one in a million dish craved by thousands of attendees of the maui swap meet it is still sought after it was discontinued when the swap meet moved to a new location  popular toppings for this dish are grilled terichicken teribeef shrimp curry or just with chopped green onions
46,fraicheur  vinaigrette,this is a lovely salad dressing from a local glutenfree cookbook it is extremely simple and youll most likely already have all the ingredients at home
47,full cool  macaroni and cheese,a recipe from ricardo that is popular with kids  so i had to try it my son is beginning kindergarten tomorrow and i wanted to do something hell like  and this recipe is a winner with it  with us also  its so easy to do
48,good morning   muffins,i first tasted these muffins at a brunch and the hostess was kind enough to give me the recipei asked her about the name she had given them and she said if any food could ever say good morning these muffins were it
49,goulashy  beef stew for the slow cooker,noodle beef stew in the slow cookereasy comfort food
50,hey nic  add the chicken   leek and potato soup,this started out life as just leek and potato soup one of a plethora of soups in my husbands box of cheffy tricks  when i saw him about to just chuck the chicken frames into the bin after having made the stock i protested and told him to chip off the meat and put it back in the soup  he was a bit dubious but has now changed the recipe to include chicken
51,jiffy  deluxe pizza sticks,recipe from a box of jiffy brand pizza crust mix adapted slightly to our own taste when we get tired of homemade pizza we make these quick breadsticks great to dip make extra cuz they go fast
52,just peachy  cobbler,all i can say is yummmmmm    a simple to make peach cobbler cooks note a 28oz can of peaches drained or 4 to 5 large fresh peaches skinned and sliced can be substituted for the frozen peaches i use only real butter and real vanilla
53,kelly s chinese cabbage salad,ive had lots of people ask for this recipethere are similar ones but this is how i make it
54,little kick  jalapeno burgers,this recipe was originally submitted to taste of homes healthy cooking magazine by dawn dhooghe of concord north carolina  i lightened up one of my husbands favorite burgers although the original was good we actually like this better
55,magic  chicken noodle soup,my mom taught me how to make from scratch chicken noodle soup and i added to it until it was my own when i was in college i would make it for my friends and roommates when they were sick or even just feeling blue thats how it earned the nickname magic penicillin soup im not sure its all that but i sure like it
56,mcgriddle  pancakes breakfast sandwich,these are so great as pancakes but even better as sandwiches can be frozen for oamc also
57,melanie s  chicken chili,years ago i started experimenting with a chicken variety of my moms old basic chili recipe    i never ever make a chili the same way  thats the beauty of it   just use what you have in your pantry or what you are cravingtheres really no way you can go wrong   every time i make chili with chicken it is different for my family  friends who think there is an actual melanies chicken chili recipe heres my attempt to finally publish it with approximate ingredients for you    feel free to mix it up anyway you please  but my biggest rule is please dont use canned diced chilies in that acidic gross tasting preservative juice  yeah you know what im talking about and gross
58,missy s  sweet potato casserole,this is the recipe i have been using for years and i am putting it here for safekeeping  i was making it this morning for thanksgiving and noticed that my copy is starting to get soiled  this is so good you could almost eat it for dessert
59,old bay  grilled steak fries,found this in a magazine yet to try but look tasty
60,peas  fit for a king or queen,this recipe is so simple and the flavors are so amazing it was the hit at a recent dinner everyone had to have the recipe better double the recipe they will all want seconds
61,pizza  beans,i make this often for my son who gave the dish its name  he claims it tastes like pizza  im not so sure
62,rainbow chicken strips,okay i probably didnt make this up but i felt like i did  i was looking for something new to make that my kids would love  it was colorful and my 3 year old called it rainbow chicken so easy and i liked it toothe amounts and times are not exact i didnt really measure as i was going along
63,reasonable  lemon chicken and potatoes,this is a recipe my mother and i made upit is both easy to make and delicious  it is the most tender chicken ive ever had  if you like things less sour use a little less lemon juice
64,royal  turkey stuffing,family legend has it that this originated with the danish royal family  apparently my mothers friend knew the cook  it is by far my favorite stuffing and of course we stuff chickens etc with it and even make it as a vegan casserole by leaving out the poultry all together  i have modified it somewhat over the years but it is still basically the same recipe
65,second only to my meatloaf  meatballs,my daughters ages 12 and 6 love my meatloaf but when i want to give them something close to it but different these meatballs are just the thing
66,skinny  fries,this recipe comes from the new american diet cookbook with some changes by me  the secret here is to soak the potatoes in ice water for 10 to 15 minutes while the oven is preheating
67,so i cheated  refrigerator dills,ya so it is kinda cheating but these come out so good everytime fast simple and easy just dont tell em you cheated they keep for 6 months in the fridge but always disappear faster than that a family recipe here in tx
68,the heat  spicy party mix,a spicy chex mix that will really warm your guests up during the holidays
69,three cheese  cheese ball,great for parties and superbowl gettogethers serve with crackers bagel chips or vegetable sticks prep time includes time to chill cheese ball
70,u  wing it pork loin chops,as the name indicates fix a sauce from ingredients in your fridge you can make a luscious gravy from your fridge prepare ahead of time and cook when needed a 1 inch chop is like a mini roast you can carve when cooked served with asparagus and a baked potato and dinner is done
71,we re going bananas  bread,another all time household favorite from the best of bridge series  going bananas is an excellent bread and our fmaily has enjoyed it for years  12 minutes to mix and 60 minutes to bake and the rest is history
72,wolf creek inn  macaroni   cheese,this comes from a very highly rated restaurant in my area high in chesse content but so good
73,miracle  honey oatmeal bread  gluten free,this recipe was is an insight into my childhood as a reminder of my first love for baking bread my grandpa used to make it for me and i loved it so much that i set my mind to mastering the process myself awesomefor this an more awesome gluten free recipes check out my blog wwwglutenfreegirlsblogspotcom
74,big mac  pizza,this cheeseburger pizza is so different from the others on zaar i renamed it big mac because it tastes like a big mac only better  my son christopher was served this as an appetizer at a bar very surprising how good
75,get up   go  bars,i found these at the mr food site my friends says they really are called get up and go bars because with all the fiber you really will have to get up and run especially if you have one of these bars with your first morning cup of coffee
76,neezy peazy lunch,this is a great meal eaten the same day but even better the next day  if you can wait add your favourite spices but try it first as it is and i think that you will enjoy the vegetable taste good for freezing
77,spring in your step  smoothie  raw food,this recipe was pulled off the internet
78,copycat  chi chi s cornbread,this is the best corn bread out there and super easy beware it is moist you also can double the recipe to make a thicker batch of corn bread
79,different   irish soda bread,a little different than most soda bread recipes which makes it even more delicious the beer and pepper add a little different flavor not mention a genuine irishness i got this out of a womans world magazine this bread tastes best eaten right out of the oven
80,fooled ya   spaghetti sauce,this is something my daughter does to get her boys to eat more vegetables it sure works for hershould work for you
81,iowa state fair  sweet dough caramel cinnamon rolls,this was the winning entry at the 2010 iowa state fair for the  tones spices best cinnamon roll contest  overall winner  2010 iowa state fairrecipe created by janice nostrom of humboldt   janice i cant wait to try this as my rolls are so bad i dont even try to make them any more  i have high hopes with this recipe from janice  thank you  rise time about 212 hours
82,make ahead  flaky sausage foldovers,these flaky sausage foldovers can be made ahead of time making them great for parties
83,my way of   steamed cabbage,i remember when i was growing up watching my great aunt cook and listening to all her tips on cooking and was thinking about her fried cabbage so this morning new years day i decided to use up the cabbage i had left in the refrigerator i added my own touch to my aunts way of steaming she just usually steamed her cabbage in bacon grease i like to kick my food up just a notch  the measurements in this recipe might be off a bit but the main thing is getting the flavor of the spices
84,shrimp  cocktail sauce,this is an easy to make shrimp sauce it makes about 1 12 cups
85,copycat   costa vida green rice,i think this chain is mostly out west but i went to the one in portland me with my sister and am now a huge fan  this is very similar to the rice that they use in the burritos and salads  yummy
86,heavenly  fiber muffins,highfiber muffins that are full of flavor  full of apples carrots and nuts these muffins are so good and great for you i adapted this recipe from one that came on a box of hodgon mill mulitgrain hot cereal found in the gourmet or health food area of a regular grocery store  if you can find the hodgon mill hot cereal use it but if you cant find it you can put the same amount of oatmeal in a blender or food chopper and chop until it is very fine  note the more you use the lowfat options the quicker these will cook  best is to stick to just one or two lowfat options eg just egg whites and skim milk and use veg oil etc
87,the real  black tie mousse cake by olive garden,this is it the real deal very time consuming but worth it delicious and decadent this is a fourlayer chocolate mousse cake
88,ultimate  dark chocolate oreo truffle,only 3 ingredients  this is my alltime favorite dessert recipe and ironically one of the easiest ive come across  anyone can make it yet the taste is something youd expect from a professional chocolatier
89,tasty s    the power of flower7 salad,tasty and i collaborated on this colorful springsummer salad today there are as many variations of the salad as there are vegetables fruits and herbs use a light vinaigrette of your choice to complete the recipe read note below in the directions tasty dish would like to dedicate this recipe to flower7
90,hawaiian sunrise           mimosa,pineapple mimosa was changed to hawaiian sunrise suggested by kelbels dh and i did like it so i went for it a toast to kelbel and her dh i made this to help the campagne go a little farther and i wish we had an other bottle of champagne because we enjoyed these so
91,tasty dish s   banana pudding in 2 minutes,mmmm i love bananas a tasty dish original tasty says for a deluxe version stir in pureed strawberries
92,0 fat chunky watermelon salsa,this is fantastic served with grilled seafood or chicken plan ahead this needs to chill for 30 minutes before serving this can be made up to 2 hours in advance but does not keep well overnight
93,1 minute cake,its not a fancy cake but when you eat it warm with whipped cream ice cream or a chocolate glaze it tastes pretty good its great for when youre craving for something sweet but dont want the temptation of an entire cake in your house plus its super fast to make
94,1 minute meatballs,this is a real short cut for cooks in a hurry use the cooked sausage bits like you would any meatball in soups stews spaghetti casseroles or as an appetizer with a sauce cheating not really just using a good shortcut
95,1 point plus   hg s faux fried pickles,from hungry girl emailper serving 10 pickle chips 40 cal 5g fat 10g carbs  2g fiber 2g protein
96,1 001 nights cake,a delicious arabian honey treat and very quick and easy to prepare the cake is butteryeggy and the topping is a chewy confection of butter sugar honey almonds and cinnamon ed compares the topping to pecan pie but its much more caramelized and toothsome
97,1 1 1 tempura batter,i use this everytime i make onion rings hot poppers and other fried finger food  once you use it for the first time you wont have to reach for the recipe again cuz its so easy  to make more just change the 111 to 222 or more
98,1 2 3 bread,a quick easy bread to make
99,1 2 3 enchiladas,this is the best recipe for quick enchiladas that people devour when i make it it is easy and uses stuff you already have in your house i like to use 2 cans of chili i got this recipe off the httpwwweversavecomeversaveconsumersrecipejsp website
100,1 2 3 ground turkey mexican rice,i found this years ago in a magazine and have been making it since its very easy and healthy serve on tortillas with sour cream and shredded cheese or eat right out of a bowl
101,1 2 3 4 cake  orange,my mother just gave me a whole box of recipes and i found this recipe in it it sounded so good i baked it for a bake sale a woman bought a couple of pieces liked it so much that she came back and bought the rest of the cake definitely a keeper very easy tasty and versatile i made it in a 9x13 pan you can use milk or water instead of orange juice but i really liked the flavour of the orange juice and the raisins in it
102,1 dish hot fudge swirl cake,from a fleischmanns ad in country living  an ohsoeasy and ohsoyummy treat
103,1 dish italian 5 cheese pizza bake,a quick recipe with only 20 minutes preparation using fleishchmanns rapid rise yeast
104,1 minute blueberries   cream,i was craving blueberry tonight but wanted none of the caloriesso i reached for my proteinrich friend friendship cottage cheese cottage cheese is rough on its own and makes you think its another miseryinducing diet food well it doesnt have to be frozen blueberries are a must for this not fresh because i find that the frozen actually tends to be of better quality no bitterness and when you nuke em they give off this syrup that has no added sugars this takes barely 1 minute to whip up tastes great and is a great rushhour breakfast afterschool or afterdinner treat
105,1 minute breakfast sandwich,theres no excuse to skip breakfast when its this easy
106,10 calorie chocolate miracle noodle cookies,a moist chocolate cookie that reminds me of a flourless chocolate torte pictures at httpmitochondrialdepletionsyndromeblogspotcom20120410calorieorangesiclemiraclecookiehtml
107,10 clove stove top roast,most italian homes rarely have ovens so that leaves them roasting on the stove top its the perfect way to make a rare roast beef turning the meat is the hardest part
108,10 lb  lasagna,i call this the 10 lb lasagna because the ingredients total about 10 lbs  i have been practicing my lasagna recipe for years and this is what i have finally come up withnote  this lasagna can be made the day before and baked the next day  or you can make this lasagna and freeze to bake at a later time  if you freeze please remember to allow extra baking time
109,10 minute chocolate self saucing pudding,got this recipe from the essentially food magazine its not the best chocolate selfsaucing pudding ive had but it is so quick and great if you have an afterdinner chocolate craving
110,10 grain orange bread,this bread is terrific for sandwiches its slight sweetness and hint of orange marries well with turkey particularly if youre one of the people who loves turkey sandwiches with a dollop of cranberry sauce in the filling
111,10 layer poor man s lasagna casserole,i had to come up with a kidadult friendly recipe to please everybody while my stepdaughter was visiting so this is what i did we all loved this it ended up making a lot though so you might want to make a half a recipe ill be taking this to the next potluck or family gathering that comes up it was so good it came out way better than i thought it would i was quite surprised and happy hope you try it
112,10 minute lime pie,a super easy standin for traditional key lime pie slightly altered from the version posted on serious eats httpwwwseriouseatscomrecipes20110710minutelimecrackerpierecipehtml squeezing the limes can be a chore but you can always skip it by buying fresh lime juice
113,10 minute tuscan tomato soup with parmesan toasts,this soup is good served with parmesan toasts recipe is from womans day
114,100   whole wheat,the trick to making 100 whole wheat bread is the extra knead which gives the yeast and gluten a second chance to creat a lighter loaf gluten gives the whole wheat flour the structure needed for a good loaf if your store doesnt carry it try the local health food store
115,100 calorie cinnamon pancakes,this recipe was listed as the featured recipe in an email today from the wwwsparkrecipescom website  submitted by amroz123  i am known for my pancakes so trust me on this one30 minutes to prepare and cook  serving size is one pancake if you use less than 13 of a cup batter like 14 or 16 you can have two for 100 calories smaller but more 
116,100 calorie coffee,you can make this even fewer calories if you sweeten it with a zero calorie sweetner instead of sugar this cam from 101 coffee recipes
117,100 year old pie crust,very nice light crust
118,100  whole wheat bread  abm,i wanted 100 which is light and fluffy so i started tinkering away and this is the recipe i got i really love it and its easypeasy lemonsqeasy as my kids would say as a result ive retired my 5050 bread hopefully s
119,100  whole wheat bread  bread machine,this recipe was included with my old black and decker bread machine  this bread is wonderful
120,100  whole wheat buttermilk pancakes,most whole wheat pancake recipes sneak in some refined flour but not these  great to make ahead and freeze for later
121,1000 island vegetable dip,this is a delicious yet quick and easy vegetable dip  i got this recipe from my mom  it has been a favorite at family gatherings for years  i like to substitute low calfatcarb ingredients to reduce calories and fat  enjoy
122,110 in the shade,a malty sharp chilly  hot breathtaking blast of flavor we used toenjoy poolside in phoenix  recipe from thecafe terra cotta in tucson  later the black mountain brewing company in cave creek began brewing their own chili beer with a whole serrano chili in the bottle an equally good poolside libation
123,12 minute corn chowder,this creamy corn chowder is quick easy and so tasty it calls for evaporated milkand thats the secret
124,12 hour tomatoes,from joe yonans cookbook
125,123 cake,i have not tried this recipe i got it from parish pickens from lakeshore united methodist the recipe was submitted by mary knighton
126,14 minute maple candy,heres a recipe a friend sent when i wanted to make homemade maple candy let me know what you think of it
127,15 layer russian honey cake,i recently tried a russian honey cake which was one of the yummiest cakes i have ever tasted it was so nice i decided to find the recipe and learn to make it myself it took me about 6 months searching the net on websites mostly in russian which i definitely dont read or speak translating from russian using an online translator and trying different recipes before i found this recipe which has produced a result at least as nice as the one i triedi baked 2 pieces at a time on baking paper on an oven tray each batch took just long enough to cook that i had two more ready to swap when the first ones were donethe cream filling and coating is made from sour cream and sugar the sour cream is simply whipped with the sugar until the sugar dissolves the original recipe said to add sugar by intuition i think youre supposed to keep adding more until it thickens but the time i tried that it was too sickly sweeti have also made the fillingcoating using fresh cream  750ml soured with 12 cup lemon juice and beaten until just starting to thicken you still use the sugar  honey this was for a vegetarian who pointed out that the cultured sour cream i used had gelatin in it a slightly different taste but a very nice variationi personally dont like walnuts all that much so i leave them out whenever i cook this
128,15 minute beef stew,from a lipton email newsletter
129,15 minute chicken and rice dinner,this recipe is an old campbells soup recipe its simple and very good
130,15 minute chili cheeseburger skillet,a super simple stove top dish  especially good on cold nights  i originally got this from a kraft box i believe
131,15 minute shrimp carbonara fettuccine,havent tried this yet but it looked delicious
132,15 minute stir fried chicken   asparagus,this is from worlds healthiest foods  i tried this because it is so easy and quick to make  the asparagus is wonderful too  it fits most any health diet though it didnt include  nutrition data  with it  this is one ill be making often  i used powdered ginger as i dont usually have fresh ginger on hand
133,15 minute vegetarian chili,when i was a vegetarian as a teenager i used to make the recipe all the time it is very inexpensive maybe 3 for the recipe and takes almost no time at all eat alone or use it as a burrito filling omit the cheese for a vegan recipe
134,15 minutes oatmeal  rice cooker,my own version of oatmeal cooked in the rice cooker all it takes is only 15 minutes of your time 
135,17 day diet   turkey eggplant parmesan,eggplant parmesan an italian standby is one of my favorite dishes we developed this quick version so that i could have it more often its super low in carbs and fat and you wont even miss the breading  dr mike moreno
136,1930 s apple and nut pie,i tore this recipe out of family circle  i have not tried it yet but it sounded very easy to do would be great topped with vanilla ice cream
137,1940s vinegar cake    egg free,egg free and very moist you can make a cake or do muffins and its so easy and if you wanted you could safely lick the spoon as its egg free
138,1960 tomato gravy,from an index card in a recipe box i bought at a garage sale in 1960 the recipe uses canned tomatoes but i have also used fresh tomatoes with great results too substitute olive or vegetable oil for the bacon grease if you like but the taste wont be quite the same good with meatloaf or for serving with leftovers or biscuits
139,1st place banana nut bread,from the green thumb harvest cookbook this won first prize in 1889 at the wabash indiana county fair by her greatgrandmother according to the woman who submitted it this makes 2 loaves
140,1st place fair cheese bread,came out of my los angeles fair cookbookserve with chili or soup
141,2 by 4 soup,a hearty soupi might even qualify it more as a stew great for filling bellies on a cold day great for stretching a dollar
142,2 day herb marinated pimiento stuffed olives,this marinade gives an extra zip to you usual pimiento stuffed olives do not keep more tham a few days so only make what you plane to use lovely served along with other appetizers
143,2 minute broccoli,so easy  tender crisp  hot steamed broccoli in 2 minutes do it
144,2 minute low fat strawberry and banana custard comfort food,i needed a delicious sugary fix and fast and as im suffering a bit a of a coldflu virus as i type this and much to my extreme irritation i can hardly taste anything   i guess my body needs extra energy to fight off the infection  well this will certainly help boost the energy and this really simple and extremely sweet strawberrybanana instant dessert certainly tastes great   i wanted as few calories and fat as i could persuade my cravings to settle for  so obviously there are a few  but theyre all made up of good stuff  very little fat and not so many calories that im being ridiculous
145,2 x 2 cottage cheese smoothie,yet another smoothiemilkshake experiment gone well yea i love cottage cheese you can tell
146,2 2 2 diet mocha,while trying to come up with a satisfying snack or dessert that fit the requirements of my low carb low calorie low fat diet ugh but im only on it for 3 weeks as a jumpstart i invented this ive experimented often with doityourself coffee mixes and i think this is better than most  im mostly putting this here to calculate the nutritional informationfor cocoa use the best you can find  currently im using ghirardelli unsweetened cocoa from a 10 oz can sold in the baking section of publix  my current sweetener is sucaryl tablets from canada and i use 2 tablets easy to rememberthats why i tried these proportionsedit after publishing when i found out the total carb count and realized it was too high due to the milk powder i decided to wait until i go back to lowcarbing and then use cream which has zero carbs  however this is still quite low in calories so many dieters should find it useful
147,2   baby potatoes with rosemary,this is the starch for the easter dinner from good housekeeping receipe 1 was roast leg of lamb with figs and wine
148,20 minute chicken   rice with broccoli     k,similar to cheesy chicken simmer  k  i posted however this one has the rice cooked in the dish and has no cheese submitted by haleemah6sal7 on kraft foods site
149,2009 summer salsa,right out of the garden goods to make a yummy spicy salsausing really hot chilies but skip them if you want it calmgarden fresh zucchini tomatoes and onions with fresh herbsdo use a food processor for chopping your veggies to save on time
150,21st century macaroni and cheese,from the splendid table this serves four and doubles easily
151,250 of nearly everything chocolate cake,this is great for people who are on a nonwheat diet  you can also substitute ground hazelnuts for the almonds if you wish  i think this recipe was in a cuisine new zealand recipe book  the cake will be quite fudgy and not dry in the middle  it will also sink a little as it cools so dont worry if this happens
152,2bleu s honey pudding,this is a wonderful brunch item that tastes like a french toastbread puddingcustard combination i love it when someone says honey please bring me some honey pudding honey puddin pie
153,2bleu s margarita ice cream and sherbet fizz  virgin,this is our creation of a wonderful summertime treat add a shot of tequila for the adult version 
154,2bleu s no bake peanut butter granola bars,this is a nice healthy low calorie big bar perfect for part of breakfast or an afternoon snack you can rough chop the nuts in a food processor or place into a ziploc bag and use a rolling pin to crush to make things go faster
